seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,policy_seed
10001,high,moderate,Fog-only,1549,1544,529.5133756133455,1064.5773949793977,40.284054228534536,17.155555555555555,106.88353952157901,13.046561143265953,0.4123758495580734,0.9836342630797161,0.0,0.0,1.8960306566394085,19.138638615937086,37.0147583034169,264260.0,2.4694664481594737,0.1038555640256123,59.715945771465464,0.0,100.0,0.0,36.0,66.81999999999996,100.32799999999993,1.015625,97.63693853713815,1.0402057000319473,nan,1839.0593321505996,
10001,high,moderate,DRL-OO-2025,1549,1539,405.6065385305058,869.8499281221002,11.233053582956746,17.1,250.56438264296145,20.69693709656023,0.3755467871329262,0.7773617679033997,0.32278889606197547,0.0,1.755471576619657,19.370216120727008,38.969266884915015,240900.0,2.254747957272292,0.07283419151772563,88.76694641704326,0.0,76.3718528082634,23.30535829567463,530.3,996.6799999999995,1368.6879999999965,2.34375,99.60921313539059,2.3529449999914505,nan,813.023678839476,502
10002,high,moderate,DT-KF-CostAware,1598,1578,465.77254082330415,1059.254223792704,16.83354192740926,17.533333333333335,190.45149270533375,17.38196061726878,0.3978293127167836,0.9200068528842791,0.6257822277847309,0.0,1.787205757726713,20.74586234992226,40.48027862831307,443839.9999999999,1.7628260949259444,0.09367343971607961,83.16645807259074,0.0,90.42553191489361,8.948685857321651,306.95000000000005,547.63,827.103,1.8125,99.70460482517623,1.8178698999690823,nan,1083.6859117550189,
10002,high,moderate,DT-OPT,1598,1577,465.6908914283685,1034.045871197103,16.583229036295368,17.522222222222222,190.66987613385896,17.411823360759616,0.39831057354786054,0.9124124797349437,0.688360450563204,0.0,1.78849610904653,20.420503235482524,40.98973515189771,427779.9999999999,1.6993671090987879,0.09125496029761684,83.41677096370464,0.0,90.42553191489361,8.88610763454318,371.9,666.255,903.224,2.046875,97.48256267402986,2.0997345000505447,nan,938.2138551100524,
10002,high,moderate,SemiGreedy,1598,1591,339.1345967541492,617.3728909966235,2.690863579474343,17.677777777777777,360.1009954757827,26.568829141869077,0.3681729227356964,0.6930649900981666,0.0,0.0,1.7371325508370665,22.021201138011747,43.34600174971347,427779.9999999999,1.698236296372841,0.07363819536033056,97.30913642052566,0.0,71.71464330413016,28.285356695869837,450.5,710.4599999999998,992.7989999999983,2.15625,99.5397696543474,2.1662195999524556,nan,909.4184172478348,
10002,high,moderate,Fog-only,1598,1589,633.0730203618685,1524.5060636189748,41.11389236545682,17.655555555555555,118.67071605924106,13.767235870460386,0.4240025124386908,0.9943609111387659,0.0,0.0,1.7981024508977559,20.175279072469,40.32019648488462,512460.0,2.0344059386582503,0.20487066492147316,58.88610763454318,0.0,100.0,0.0,42.1,88.09499999999996,121.4889999999999,1.234375,99.32789765186773,1.2427274000365287,nan,1585.222953917403,
10002,high,moderate,DRL-OO-2025,1598,1581,421.0199933597186,925.7191452423666,11.201501877346683,17.566666666666666,263.6217858343304,21.34039990368561,0.384471255405033,0.8335927295550541,0.5632040050062578,0.0,1.7490556643294317,21.81259548433859,43.8843666866183,459900.0,1.826684536585147,0.09923211590642483,88.79849812265331,0.0,78.84856070087609,20.58823529411765,542.5,895.4999999999999,1236.4499999999998,2.3125,99.0864592664092,2.333820400002878,nan,844.1095124533022,503
10003,high,moderate,DT-KF-CostAware,1557,1542,451.76088580538624,975.2368996782789,14.771997430956969,17.133333333333333,176.0581288847781,16.332818432228525,0.394385809480415,0.9389015540953317,0.449582530507386,0.0,1.8137885899023158,20.46025549618412,39.936082866807276,224840.0,1.7546551350352437,0.06717559652220755,85.22800256904303,0.0,91.71483622350674,7.83558124598587,378.4,679.4,871.2600000000003,1.9375,95.45131970294862,2.0298305000178516,nan,951.3109592071937,
10003,high,moderate,DT-OPT,1557,1543,449.48225377127716,985.0076149758884,14.45086705202312,17.144444444444446,177.81511159408896,16.431866007342027,0.39321961004931955,0.9355763245101,0.3853564547206166,0.0,1.8097518062920286,20.30921831376238,39.93013782211235,229220.0,1.7886521949342173,0.0704414936486994,85.54913294797687,0.0,91.52215799614643,8.092485549132949,263.1,507.35,738.3300000000002,1.625,99.31333233845169,1.6362355000455864,nan,1180.1479676649244,
10003,high,moderate,SemiGreedy,1557,1551,330.7805033215584,575.3183117538738,1.2202954399486192,17.233333333333334,342.9247156725303,25.12570950193069,0.36695368378640714,0.7251195879395093,0.0,0.0,1.720076987511172,21.44338525475253,41.86863015725294,249659.99999999994,1.9470039955460503,0.05140284369802732,98.77970456005139,0.0,71.6120745022479,28.387925497752086,453.0,744.5,1000.7000000000003,2.109375,99.99049097770818,2.109575600014068,nan,915.3499879251176,
10003,high,moderate,Fog-only,1557,1550,530.7618876649526,1139.5348143265849,35.195889531149646,17.22222222222222,118.08803242127543,13.205821015896126,0.4160747257428065,0.9780127269885105,0.0,0.0,1.8292626104956387,19.673594943469634,38.52427758692374,281780.00000000006,2.1974957376630875,0.12379355178175429,64.80411046885035,0.0,100.0,0.0,38.2,69.80000000000001,96.94000000000001,1.046875,96.54073620150383,1.0843868000083603,nan,1780.7299018995,
