qos_regime,load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
clean,medium,p95_latency_ms,SemiGreedy,30,-197.99627262875146,24.673712026148102,9.213305197441196,Jarque-Bera,8.583925154445026e-08,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,2.2547169166386993e-05,rank_biserial,-1.0,-1.0,-1.0
clean,medium,dmr_pct,DRL-OO,30,1.1687052013898005,0.7809823072645934,0.2916232605375754,Jarque-Bera,0.4967150840273107,paired_t,8.196423861596392,4.886617332999776e-09,8.30724946609962e-08,cohens_dz,1.4964554132899817,1.1966875431498503,2.0501401910584303
clean,medium,dmr_pct,DT-OPT,30,1.3989199735176427,0.8711602048403247,0.3252962032852383,Jarque-Bera,0.8595546096296455,paired_t,8.795397464012757,1.1157355039870254e-09,2.2314710079740507e-08,cohens_dz,1.6058125310878397,1.2422481849705398,2.247100400926566
clean,medium,dmr_pct,Fog-only,30,-1.1276753554752716,0.5966229733929855,0.22278243078500212,Jarque-Bera,0.6019565876207451,paired_t,-10.352488209159613,2.990119263301949e-11,6.877274305594483e-10,cohens_dz,-1.8900971061543268,-2.5863239761327823,-1.4977209565736391
clean,medium,dmr_pct,SemiGreedy,30,-1.1900422080380615,0.5818562884275724,0.21726846615752177,Jarque-Bera,0.7273872013916108,paired_t,-11.202301576686276,4.7273296388539165e-12,1.1818324097134791e-10,cohens_dz,-2.045251089842254,-2.878915490029084,-1.630267714126973
clean,medium,throughput_tasks_s,DRL-OO,30,0.0007407407407407381,0.008721280586276647,0.0032565760542528966,Jarque-Bera,5.508761577935352e-10,wilcoxon_signed_rank,25.0,0.7815112949987133,1.0,rank_biserial,0.09090909090909091,-0.6363636363636364,0.7090909090909091
clean,medium,throughput_tasks_s,DT-OPT,30,0.0007407407407407381,0.007683242303150204,0.002868966622038703,Jarque-Bera,2.8985374186962835e-31,wilcoxon_signed_rank,9.0,0.7388826803635273,1.0,rank_biserial,0.14285714285714285,-1.0,1.0
clean,medium,throughput_tasks_s,Fog-only,30,0.0,0.008253126141202275,0.0030817645067468744,Jarque-Bera,8.039900468954274e-20,wilcoxon_signed_rank,16.0,0.763024600552995,1.0,rank_biserial,-0.1111111111111111,-1.0,0.6666666666666666
clean,medium,throughput_tasks_s,SemiGreedy,30,-0.007407407407407381,0.007901766691319522,0.002950564878480798,Jarque-Bera,0.2938343298929837,paired_t,-5.134553180524705,1.7450890031689426e-05,0.0002094106803802731,cohens_dz,-0.9374368665610922,-1.308514349246423,-0.6848188794781938
clean,medium,energy_j,DRL-OO,30,-32.898162056359595,8.616054830613848,3.2172841552258946,Jarque-Bera,0.7135512988275176,paired_t,-20.913359783534393,0.0,0.0,cohens_dz,-3.8182396355543817,-5.003538970261189,-3.176522476136757
clean,medium,energy_j,DT-OPT,30,-32.54118745318018,10.269027170467107,3.834513481476326,Jarque-Bera,0.9419317046248601,paired_t,-17.356602646227227,0.0,0.0,cohens_dz,-3.1688675969975035,-4.360946756607266,-2.484464837885318
clean,medium,energy_j,Fog-only,30,-26.072686974123638,10.705724395404166,3.9975787230563897,Jarque-Bera,0.6991666840246515,paired_t,-13.339217658759376,6.639133687258436e-14,1.7925660955597778e-12,cohens_dz,-2.4353968037245863,-3.2201542092019126,-1.991927712268318
