seed,load,algorithm,fog_node_id,completed_tasks
1015,low,Fog-only,fog-3,1
1015,low,Fog-only,fog-4,52
1015,low,Fog-only,fog-5,135
1015,low,Fog-only,fog-6,5
1015,low,Fog-only,fog-7,233
1015,low,Fog-only,fog-8,0
1016,low,DT-KF-CostAware,fog-1,0
1016,low,DT-KF-CostAware,fog-2,230
1016,low,DT-KF-CostAware,fog-3,14
1016,low,DT-KF-CostAware,fog-4,21
1016,low,DT-KF-CostAware,fog-5,54
1016,low,DT-KF-CostAware,fog-6,4
1016,low,DT-KF-CostAware,fog-7,143
1016,low,DT-KF-CostAware,fog-8,0
1016,low,DT-OPT,fog-1,0
1016,low,DT-OPT,fog-2,230
1016,low,DT-OPT,fog-3,13
1016,low,DT-OPT,fog-4,21
1016,low,DT-OPT,fog-5,55
1016,low,DT-OPT,fog-6,4
1016,low,DT-OPT,fog-7,143
1016,low,DT-OPT,fog-8,0
1016,low,SemiGreedy,fog-1,1
1016,low,SemiGreedy,fog-2,177
1016,low,SemiGreedy,fog-3,8
1016,low,SemiGreedy,fog-4,0
1016,low,SemiGreedy,fog-5,0
1016,low,SemiGreedy,fog-6,0
1016,low,SemiGreedy,fog-7,89
1016,low,SemiGreedy,fog-8,0
1016,low,Fog-only,fog-1,20
1016,low,Fog-only,fog-2,219
1016,low,Fog-only,fog-3,63
1016,low,Fog-only,fog-4,1
1016,low,Fog-only,fog-5,2
1016,low,Fog-only,fog-6,0
1016,low,Fog-only,fog-7,161
1016,low,Fog-only,fog-8,0
1017,low,DT-KF-CostAware,fog-1,49
1017,low,DT-KF-CostAware,fog-2,2
1017,low,DT-KF-CostAware,fog-3,7
1017,low,DT-KF-CostAware,fog-4,228
1017,low,DT-KF-CostAware,fog-5,7
1017,low,DT-KF-CostAware,fog-6,33
1017,low,DT-KF-CostAware,fog-7,0
1017,low,DT-KF-CostAware,fog-8,122
1017,low,DT-OPT,fog-1,49
1017,low,DT-OPT,fog-2,2
1017,low,DT-OPT,fog-3,7
1017,low,DT-OPT,fog-4,228
1017,low,DT-OPT,fog-5,7
1017,low,DT-OPT,fog-6,33
1017,low,DT-OPT,fog-7,0
1017,low,DT-OPT,fog-8,122
1017,low,SemiGreedy,fog-1,0
1017,low,SemiGreedy,fog-2,0
1017,low,SemiGreedy,fog-3,188
1017,low,SemiGreedy,fog-4,5
1017,low,SemiGreedy,fog-5,0
1017,low,SemiGreedy,fog-6,76
1017,low,SemiGreedy,fog-7,1
1017,low,SemiGreedy,fog-8,5
1017,low,Fog-only,fog-1,0
1017,low,Fog-only,fog-2,0
1017,low,Fog-only,fog-3,221
1017,low,Fog-only,fog-4,33
1017,low,Fog-only,fog-5,0
1017,low,Fog-only,fog-6,135
1017,low,Fog-only,fog-7,25
1017,low,Fog-only,fog-8,34
1018,low,DT-KF-CostAware,fog-1,240
1018,low,DT-KF-CostAware,fog-2,5
1018,low,DT-KF-CostAware,fog-3,6
1018,low,DT-KF-CostAware,fog-4,117
1018,low,DT-KF-CostAware,fog-5,59
1018,low,DT-KF-CostAware,fog-6,2
1018,low,DT-KF-CostAware,fog-7,1
1018,low,DT-KF-CostAware,fog-8,48
1018,low,DT-OPT,fog-1,240
1018,low,DT-OPT,fog-2,5
1018,low,DT-OPT,fog-3,6
1018,low,DT-OPT,fog-4,117
1018,low,DT-OPT,fog-5,59
1018,low,DT-OPT,fog-6,2
1018,low,DT-OPT,fog-7,1
1018,low,DT-OPT,fog-8,48
1018,low,SemiGreedy,fog-1,1
1018,low,SemiGreedy,fog-2,202
1018,low,SemiGreedy,fog-3,0
1018,low,SemiGreedy,fog-4,0
1018,low,SemiGreedy,fog-5,14
1018,low,SemiGreedy,fog-6,70
1018,low,SemiGreedy,fog-7,0
1018,low,SemiGreedy,fog-8,0
1018,low,Fog-only,fog-1,20
1018,low,Fog-only,fog-2,245
1018,low,Fog-only,fog-3,0
1018,low,Fog-only,fog-4,5
1018,low,Fog-only,fog-5,72
1018,low,Fog-only,fog-6,135
1018,low,Fog-only,fog-7,0
1018,low,Fog-only,fog-8,1
1019,low,DT-KF-CostAware,fog-1,5
1019,low,DT-KF-CostAware,fog-2,2
1019,low,DT-KF-CostAware,fog-3,179
1019,low,DT-KF-CostAware,fog-4,71
1019,low,DT-KF-CostAware,fog-5,6
1019,low,DT-KF-CostAware,fog-6,157
1019,low,DT-KF-CostAware,fog-7,8
1019,low,DT-KF-CostAware,fog-8,2
1019,low,DT-OPT,fog-1,5
1019,low,DT-OPT,fog-2,2
1019,low,DT-OPT,fog-3,179
1019,low,DT-OPT,fog-4,71
1019,low,DT-OPT,fog-5,6
1019,low,DT-OPT,fog-6,157
1019,low,DT-OPT,fog-7,8
1019,low,DT-OPT,fog-8,2
1019,low,SemiGreedy,fog-1,0
1019,low,SemiGreedy,fog-2,0
1019,low,SemiGreedy,fog-3,49
1019,low,SemiGreedy,fog-4,0
1019,low,SemiGreedy,fog-5,0
1019,low,SemiGreedy,fog-6,176
1019,low,SemiGreedy,fog-7,5
1019,low,SemiGreedy,fog-8,0
1019,low,Fog-only,fog-1,14
1019,low,Fog-only,fog-2,0
1019,low,Fog-only,fog-3,149
1019,low,Fog-only,fog-4,1
1019,low,Fog-only,fog-5,3
1019,low,Fog-only,fog-6,223
1019,low,Fog-only,fog-7,41
1019,low,Fog-only,fog-8,0
1020,low,DT-KF-CostAware,fog-1,7
1020,low,DT-KF-CostAware,fog-2,235
1020,low,DT-KF-CostAware,fog-3,0
1020,low,DT-KF-CostAware,fog-4,25
1020,low,DT-KF-CostAware,fog-5,1
1020,low,DT-KF-CostAware,fog-6,14
1020,low,DT-KF-CostAware,fog-7,137
1020,low,DT-KF-CostAware,fog-8,20
1020,low,DT-OPT,fog-1,7
1020,low,DT-OPT,fog-2,235
1020,low,DT-OPT,fog-3,0
1020,low,DT-OPT,fog-4,25
1020,low,DT-OPT,fog-5,1
1020,low,DT-OPT,fog-6,14
1020,low,DT-OPT,fog-7,137
1020,low,DT-OPT,fog-8,20
1020,low,SemiGreedy,fog-1,1
1020,low,SemiGreedy,fog-2,109
1020,low,SemiGreedy,fog-3,0
1020,low,SemiGreedy,fog-4,0
1020,low,SemiGreedy,fog-5,0
1020,low,SemiGreedy,fog-6,0
1020,low,SemiGreedy,fog-7,9
1020,low,SemiGreedy,fog-8,152
1020,low,Fog-only,fog-1,13
1020,low,Fog-only,fog-2,179
1020,low,Fog-only,fog-3,1
1020,low,Fog-only,fog-4,3
1020,low,Fog-only,fog-5,0
1020,low,Fog-only,fog-6,0
1020,low,Fog-only,fog-7,43
1020,low,Fog-only,fog-8,201
1021,low,DT-KF-CostAware,fog-1,12
1021,low,DT-KF-CostAware,fog-2,37
1021,low,DT-KF-CostAware,fog-3,244
1021,low,DT-KF-CostAware,fog-4,0
1021,low,DT-KF-CostAware,fog-5,10
1021,low,DT-KF-CostAware,fog-6,0
1021,low,DT-KF-CostAware,fog-7,127
1021,low,DT-KF-CostAware,fog-8,10
1021,low,DT-OPT,fog-1,12
1021,low,DT-OPT,fog-2,37
1021,low,DT-OPT,fog-3,244
1021,low,DT-OPT,fog-4,0
1021,low,DT-OPT,fog-5,10
1021,low,DT-OPT,fog-6,0
1021,low,DT-OPT,fog-7,127
1021,low,DT-OPT,fog-8,10
1021,low,SemiGreedy,fog-1,0
1021,low,SemiGreedy,fog-2,0
1021,low,SemiGreedy,fog-3,201
1021,low,SemiGreedy,fog-4,0
1021,low,SemiGreedy,fog-5,11
